,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
786,CHEMBL3954587,6,nM,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC1CN(C1)C(=O)C=C,8.22184875,428.1051463,6,1,3.9501,TRUE
787,CHEMBL3914159,6,nM,COc1cc2ncnc(Nc3ccc(Cl)c(Cl)c3F)c2cc1OC1CN(C1)C(=O)C=C,8.22184875,462.066174,6,1,4.6035,TRUE
788,CHEMBL306315,6,nM,Clc1cccc(Nc2ncnc3[nH]c4ccccc4c23)c1,8.22184875,294.067224,3,2,4.5081,TRUE
789,CHEMBL3758471,6,nM,C[C@@H](Nc1ncnc2sc(cc12)-c1cccc(C=O)c1)c1ccccc1,8.22184875,359.1092332,5,1,5.3439,TRUE
790,CHEMBL2105719,6,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\C[NH+]1CCCCC1,8.22184875,487.1786456,6,2,4.3304,TRUE
791,CHEMBL3898447,6,nM,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC1CCN(CC1)C(=O)C=C,8.22184875,456.1364465,6,1,4.7303,TRUE
792,CHEMBL7917,6,nM,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,8.22184875,315.0774544,5,1,4.044,TRUE
793,CHEMBL1173655,6,nM,C[NH+](C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,8.22184875,485.1629956,7,2,4.3899,TRUE
794,CHEMBL118130,6,nM,Oc1ccc(cc1)-c1[nH]nc2ncnc(Nc3cccc(Cl)c3)c12,8.22184875,337.0730377,5,3,4.1225,TRUE
795,CHEMBL3759780,6,nM,COc1cc(F)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,8.22184875,379.1154614,5,1,5.6791,TRUE
796,CHEMBL3608434,6,nM,CCn1cc(Nc2nc(nc3n(C)cnc23)N2C[C@@H](F)[C@@H](C2)NC(=O)C=C)c(OC)n1,8.22184875,429.2036992,10,2,1.1608,TRUE
797,CHEMBL3671484,6,nM,C[NH+](C)CC(=O)N1CCC(CC1)COc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C,8.22184875,584.1546791,7,2,4.5785,TRUE
798,CHEMBL56502,6,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC(O)C[NH3+],8.22184875,392.1051463,7,3,2.8729,TRUE
801,CHEMBL207815,6,nM,COCCN1CC(C1)(N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC)C(N)=O,8.22184875,502.1895447,8,2,2.7924,TRUE
802,CHEMBL3759900,6,nM,COc1cc(C=O)ccc1-c1cc2c(NCc3ccccc3)ncnc2s1,8.22184875,375.1041478,6,1,4.7915,TRUE
805,CHEMBL3633151,6,nM,COc1cc(ccc1Nc1ncc2C(C)=CC(=O)N(c3cccc(NC(=O)C=C)c3)c2n1)N(C)CC[NH+](C)C,8.22184875,527.2644879,9,2,3.96362,TRUE
806,CHEMBL1645474,6,nM,[NH3+]C1CCN(CC1)Cc1ccn2ncnc(Nc3cccc(Br)c3)c12,8.22184875,400.1011068,6,2,3.1585,TRUE
807,CHEMBL3979610,6,nM,Fc1ccc(Nc2nncc3ccccc23)cc1,8.22184875,239.0858755,3,1,3.5125,TRUE
808,CHEMBL329856,6,nM,CN(C)CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.22184875,423.0694723,5,2,3.6394,TRUE
809,CHEMBL471058,6,nM,CCc1nccn1Cc1ccc(Nc2nc3ncnc(Nc4ccc(F)c(Cl)c4)c3s2)cc1,8.22184875,479.1095205,8,2,6.1732,TRUE
811,CHEMBL3963723,6,nM,CCC(=O)Nc1cc2c(Nc3ccc4[nH]ccc4c3)ncnc2cc1OC,8.22184875,361.1538748,5,3,4.2118,TRUE
812,CHEMBL4087538,6,nM,COc1cc(N(C)CC[NH+](C)C)c(NC(=O)C=C)cc1Nc1nccc(n1)-c1cn(C)c2c(F)cccc12,8.22184875,517.2601515,8,2,4.6489,TRUE
814,CHEMBL3622673,6.1,nM,CCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1NC(=O)\C=C\C[NH+]1CCCCC1,8.214670165,455.2321252,6,2,4.734,TRUE
815,CHEMBL4063301,6.13,nM,Clc1cccc(Nc2ncnc3ccc(NC(=O)C4CCCCC4)cc23)c1,8.212539525,380.140389,4,2,5.5456,TRUE
816,CHEMBL1229592,6.18,nM,COc1cc(ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)C=C)c2)n1)N1CC[NH+](C)CC1,8.209011525,494.1833164,8,2,4.5508,TRUE
817,CHEMBL3937949,6.2,nM,[O-]C(=O)c1ccc(Nc2nncc3ccccc23)cc1,8.207608311,265.0851266,4,2,3.0716,TRUE
818,CHEMBL3219348,6.26,nM,COc1cc(ccc1Nc1ncc2C(=O)N(CC(=O)N(c3cccc(NC(=O)C=C)c3)c2n1)Cc1ccccc1)N1CC[NH+](C)CC1,8.203425667,632.2859516,9,2,4.4258,TRUE
819,CHEMBL590878,6.27,nM,Oc1cc([O-])c2cc([O-])c([o+]c2c1)-c1cc(O)c(O)c(O)c1,8.202732459,338.0193304,6,6,-0.3815,TRUE
820,CHEMBL3966129,6.3,nM,Clc1ccc(cc1)C(\C=C\c1ccccc1)=N/Nc1nncc2ccccc12,8.200659451,384.1141742,4,1,5.8128,TRUE
821,CHEMBL4282688,6.3,nM,COc1cc(N(C)CC[NH+](C)C)c(NC(=O)C=C=C)cc1Nc1ncc(OC)c(n1)-c1cn(C)c2ccccc12,8.200659451,541.280138,9,2,4.6735,TRUE
822,CHEMBL162719,6.4,nM,C[NH+]1CCN(CC1)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.193820026,398.0854567,6,1,3.2827,TRUE
823,CHEMBL3622679,6.4,nM,CC(C)[NH2+]C\C=C\C(=O)Nc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1O[C@H]1CCOC1,8.193820026,471.2270398,7,3,4.0151,TRUE
826,CHEMBL329867,6.4,nM,COc1cc2ncnc(Nc3cncc4ccccc34)c2cc1OC,8.193820026,332.1273258,6,1,3.9388,TRUE
827,CHEMBL4250210,6.4,nM,CNc1ccc(cc1)N(C)c1ncnc2occ(C)c12,8.193820026,268.1324111,5,1,3.34082,TRUE
828,CHEMBL4079658,6.4,nM,COc1cc(N(C)CCN(C)(C)=O)c(NC(=O)C=C)cc1Nc1nccc(n1)-c1cn(C)c2ccccc12,8.193820026,515.2644879,8,2,4.5224,TRUE
